"","analytename","SiteYear","stationcode","objectid","sampledate","sampletypecode","matrixname","fieldreplicate","labreplicate","methodname","fractionname","unit","result","resqualcode","mdl","rl","dilutionfactor","qacode","labresultcomments","labagencycode","projectcode","record_origin","origin_lastupdatedate","record_publish","originalid","masterid","huc","smcshed","smc_lu","latitude","longitude","probabilistic","SiteDate","Year","OCresult","OrgNorm","RLOC","Class","TEB","LEB","Assessment","RLOC_Eval","TEBq","LEBq","AssessNumeric"
"264","Cyfluthrin","405CE0280_2018","405CE0280",130095,2018-07-02,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"405CE0280",405,"San Gabriel","Open",34.23041,-117.74981,"true","405CE0280_2018-07-02",2018,0.0012,0,0.417,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"328","Cypermethrin","405CE0280_2018","405CE0280",130097,2018-07-02,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"405CE0280",405,"San Gabriel","Open",34.23041,-117.74981,"true","405CE0280_2018-07-02",2018,0.0012,0,0.417,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"536","Esfenvalerate","405CE0280_2018","405CE0280",130099,2018-07-02,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"405CE0280",405,"San Gabriel","Open",34.23041,-117.74981,"true","405CE0280_2018-07-02",2018,0.0012,0,0.417,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"587","Fenpropathrin","405CE0280_2018","405CE0280",130100,2018-07-02,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00021,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"405CE0280",405,"San Gabriel","Open",34.23041,-117.74981,"true","405CE0280_2018-07-02",2018,0.0012,0,0.42,"PYR",0.11,1.1,"Possible or Unlikely","Poor RL",0,0,4
"693","Permethrin","405CE0280_2018","405CE0280",130104,2018-07-02,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL",NA,"SMC",2020-04-29 09:23:22,"false",NA,"405CE0280",405,"San Gabriel","Open",34.23041,-117.74981,"true","405CE0280_2018-07-02",2018,0.0012,0,0.42,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"89","Bifenthrin","801M12649_2013","SMC14211",31082,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.45,"PYR",0.17,0.6,"RL Too High","Tragic RL",0,0,2
"165","Cyfluthrin","801M12649_2013","SMC14211",31083,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.447,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"329","Cypermethrin","801M12649_2013","SMC14211",31084,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.447,"PYR",0.049,0.49,"RL Too High","Tragic RL",0,0,2
"474","Deltamethrin","801M12649_2013","SMC14211",31085,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.45,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"16","Allethrin","801M12649_2013","SMC14211",31081,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.45,"PYR",0.29,2.9,"Possible or Unlikely","Poor RL",0,0,4
"694","Permethrin","801M12649_2013","SMC14211",31089,2013-06-04,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0034,0.0034,1,"DF","M-02","WKL",NA,"SMC",2018-06-11 15:26:57,"true",NA,"801M12649",801,"Lower Santa Ana","Urban",33.6894,-117.82174,"true","801M12649_2013-06-04",2013,0.00235,0,1.45,"PYR",0.42,9.3,"Possible or Unlikely","Poor RL",0,0,4
"462","Deltamethrin","801M12678_2019","801M12678",127351,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.24,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"90","Bifenthrin","801M12678_2019","801M12678",127313,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00022,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.24,"PYR",0.17,0.6,"Possible or Unlikely","Poor RL",0,0,4
"171","Cyfluthrin","801M12678_2019","801M12678",127344,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.238,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"330","Cypermethrin","801M12678_2019","801M12678",127360,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.238,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"17","Allethrin","801M12678_2019","801M12678",127347,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00028,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.24,"PYR",0.29,2.9,"Unlikely_ND","GoodRL",0,0,6
"695","Permethrin","801M12678_2019","801M12678",127352,2019-04-25,"grab","sediment",1,1,"EPA 8270D","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"801M12678",801,"Lower Santa Ana","Agricultural",33.79594,-117.70467,"true","801M12678_2019-04-25",2019,0.0021,0,0.24,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"91","Bifenthrin","801M16932_2017","801M16932",49380,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",6e-04,"DNQ",0.00022,0.00071,1,"J","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0.01,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.0588235294117647,0.0166666666666667,5
"172","Cyfluthrin","801M16932_2017","801M16932",49378,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,8e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0,0.015,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"331","Cypermethrin","801M16932_2017","801M16932",49374,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0,0.017,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"463","Deltamethrin","801M16932_2017","801M16932",49368,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0,0.02,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"537","Esfenvalerate","801M16932_2017","801M16932",49366,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0,0.017,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"696","Permethrin","801M16932_2017","801M16932",49352,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,0.00055,1,"None","","PEL",NA,"SMC",2018-06-11 15:23:06,"true",NA,"801M16932",801,"Middle Santa Ana","Open",33.94279,-117.32362,"true","801M16932_2017-05-31",2017,0.0542,0,0.01,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"92","Bifenthrin","801M16957_2019","801M16957",129679,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.00117,"=",0.00022,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0.02,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.117647058823529,0.0333333333333333,5
"173","Cyfluthrin","801M16957_2019","801M16957",129731,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0,0.009,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"359","Cypermethrin","801M16957_2019","801M16957",129735,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0,0.009,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"464","Deltamethrin","801M16957_2019","801M16957",129683,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0,0.01,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"538","Esfenvalerate","801M16957_2019","801M16957",129685,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0,0.009,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"697","Permethrin","801M16957_2019","801M16957",129786,2019-05-10,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL","SMC_RCFC_2019","SMC",2020-01-17 21:30:07,"false",NA,"801M16957",801,"Middle Santa Ana","Urban",33.85539,-117.3551,"true","801M16957_2019-05-10",2019,0.0571,0,0.01,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"93","Bifenthrin","801M16973_2018","801M16973",126158,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.144,"=",0.00022,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,1.48,0.01,"PYR",0.17,0.6,"Likely","GoodRL",8.70588235294118,2.46666666666667,1
"174","Cyfluthrin","801M16973_2018","801M16973",126169,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",0.0113,"=",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,0.116,0.005,"PYR",0.046,0.46,"Possible","GoodRL",2.52173913043478,0.252173913043478,3
"539","Esfenvalerate","801M16973_2018","801M16973",126163,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.00119,"=",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,0.012,0.005,"PYR",0.055,0.55,"Unlikely (<TEB)","GoodRL",0.218181818181818,0.0218181818181818,5
"360","Cypermethrin","801M16973_2018","801M16973",126175,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,0,0.005,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"465","Deltamethrin","801M16973_2018","801M16973",126161,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,0,0.01,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"698","Permethrin","801M16973_2018","801M16973",126186,2018-06-06,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL",NA,"SMC",2018-11-30 13:35:32,"true",NA,"801M16973",801,"Middle Santa Ana","Urban",33.93481,-117.34516,"true","801M16973_2018-06-06",2018,0.0976,0,0.01,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"189","Cyfluthrin","801S02947_2011","SMC02947",20070,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.521,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"361","Cypermethrin","801S02947_2011","SMC02947",20071,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.521,"PYR",0.049,0.49,"RL Too High","Tragic RL",0,0,2
"475","Deltamethrin","801S02947_2011","SMC02947",20072,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.52,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"3","Allethrin","801S02947_2011","SMC02947",20068,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.52,"PYR",0.29,2.9,"Possible or Unlikely","Poor RL",0,0,4
"94","Bifenthrin","801S02947_2011","SMC02947",20069,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.52,"PYR",0.17,0.6,"Possible or Unlikely","Poor RL",0,0,4
"540","Esfenvalerate","801S02947_2011","SMC02947",20074,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.521,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"699","Permethrin","801S02947_2011","SMC02947",20078,2011-07-12,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.0049,0.0049,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:27,"true",NA,"801S02947",801,"Lower Santa Ana","Urban",33.69919,-117.81143,"true","801S02947_2011-07-12",2011,0.0094,0,0.52,"PYR",0.42,9.3,"Possible or Unlikely","Poor RL",0,0,4
"95","Bifenthrin","801S03971_2011","SMC03971",20114,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.17,0.6,"Possible or Unlikely","Poor RL",0,0,4
"190","Cyfluthrin","801S03971_2011","SMC03971",20115,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.046,0.46,"Possible or Unlikely","Poor RL",0,0,4
"362","Cypermethrin","801S03971_2011","SMC03971",20116,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.049,0.49,"Possible or Unlikely","Poor RL",0,0,4
"467","Deltamethrin","801S03971_2011","SMC03971",20117,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.02,0.2,"Possible or Unlikely","Oops",0,0,4
"541","Esfenvalerate","801S03971_2011","SMC03971",20119,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.055,0.55,"Possible or Unlikely","Poor RL",0,0,4
"5","Allethrin","801S03971_2011","SMC03971",20113,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.29,2.9,"Unlikely_ND","GoodRL",0,0,6
"700","Permethrin","801S03971_2011","SMC03971",20123,2011-07-11,"grab","sediment",1,1,"pyrethroids_Water GCMS-SIM","Total","ug/g dw",-88,"ND",0.004,0.004,1,"None","","WKL",NA,"SMC",2018-06-11 15:26:33,"true",NA,"801S03971",801,"Lower Santa Ana","Urban",33.67551,-117.82775,"true","801S03971_2011-07-11",2011,0.02,0,0.2,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"96","Bifenthrin","802S09698_2017","SMC09698",49381,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",0.00423,"=",0.00022,0.00071,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0.03,0.01,"PYR",0.17,0.6,"Unlikely (<TEB)","GoodRL",0.176470588235294,0.05,5
"191","Cyfluthrin","802S09698_2017","SMC09698",49379,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,8e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0,0.006,"PYR",0.046,0.46,"Unlikely_ND","GoodRL",0,0,6
"363","Cypermethrin","802S09698_2017","SMC09698",49375,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0,0.007,"PYR",0.049,0.49,"Unlikely_ND","GoodRL",0,0,6
"468","Deltamethrin","802S09698_2017","SMC09698",49369,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00029,0.00092,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0,0.01,"PYR",0.02,0.2,"Unlikely_ND","GoodRL",0,0,6
"542","Esfenvalerate","802S09698_2017","SMC09698",49367,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","None","ug/g dw",-88,"ND",0.00028,9e-04,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0,0.007,"PYR",0.055,0.55,"Unlikely_ND","GoodRL",0,0,6
"701","Permethrin","802S09698_2017","SMC09698",49353,2017-05-31,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,0.00055,1,"None","","PEL",NA,"SMC",2018-06-11 15:26:52,"true",NA,"802S09698",802,"San Jacinto","Open",33.7459,-116.70739,"true","802S09698_2017-05-31",2017,0.1353,0,0,"PYR",0.42,9.3,"Unlikely_ND","GoodRL",0,0,6
"192","Cyfluthrin","901M14145_2019","901M14145",127788,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.556,"PYR",0.046,0.46,"RL Too High","Tragic RL",0,0,2
"369","Cypermethrin","901M14145_2019","901M14145",127789,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.556,"PYR",0.049,0.49,"RL Too High","Tragic RL",0,0,2
"469","Deltamethrin","901M14145_2019","901M14145",127778,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00025,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.56,"PYR",0.02,0.2,"RL Too High","Tragic RL",0,0,2
"6","Allethrin","901M14145_2019","901M14145",127770,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00028,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.56,"PYR",0.29,2.9,"Possible or Unlikely","Poor RL",0,0,4
"97","Bifenthrin","901M14145_2019","901M14145",127787,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00022,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.56,"PYR",0.17,0.6,"Possible or Unlikely","Poor RL",0,0,4
"702","Permethrin","901M14145_2019","901M14145",127791,2019-06-27,"grab","sediment",1,1,"EPA 8270D_NCI","Total","ug/g dw",-88,"ND",0.00017,5e-04,1,"None","","PEL","SMC_OCPW_2019","SMC",2019-09-27 15:44:54,"false",NA,"901M14145",901,"San Juan","Urban",33.48818,-117.66682,"true","901M14145_2019-06-27",2019,9e-04,0,0.56,"PYR",0.42,9.3,"Possible or Unlikely","Poor RL",0,0,4
