,analytename,SiteYear,stationcode,objectid,sampledate,sampletypecode,matrixname,fieldreplicate,labreplicate,methodname,fractionname,unit,result,resqualcode,mdl,rl,dilutionfactor,qacode,labresultcomments,labagencycode,projectcode,record_origin,origin_lastupdatedate,record_publish,masterid,huc,smcshed,smc_lu,latitude,longitude,SiteDate,Year,OCresult,OrgNorm,Class,LEB,TEB,Assessment,PyrQuotientLEB,PyrQuotientTEB,RLOC,RLEvalLEB,RLEvalTEB
491,Esfenvalerate,404S25298_2012,404S25298,67038,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000173,0.000661,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S25298,404,Santa Monica Bay,Open,34.04553,-118.68732,404S25298_2012-06-20,2012,0.0368,0,PYR,0.55,0.055,Unlikely,0,0,0.017961957,ok,ok
492,Esfenvalerate,904S01814_2010,904S01814,122793,6/15/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000174,0.000349,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S01814,904,Central San Diego,Urban,33.02292,-117.2273,904S01814_2010-06-15,2010,0.0215,0,PYR,0.55,0.055,Unlikely,0,0,0.016232558,ok,ok
494,Esfenvalerate,404S44532_2013,404S44532,67807,6/4/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,7.40E-05,0.000283,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S44532,404,Santa Monica Bay,Open,34.12682,-118.79617,404S44532_2013-06-04,2013,0.0462,0,PYR,0.55,0.055,Unlikely,0,0,0.006125541,ok,ok
496,Esfenvalerate,404S35270_2012,404S35270,67583,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.00122,=,0.000291,0.00111,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35270,404,Santa Monica Bay,Urban,34.13325,-118.70656,404S35270_2012-06-20,2012,0.0378,0.032275132,PYR,0.55,0.055,Unlikely,0.058682059,0.586820587,0.029365079,ok,ok
498,Esfenvalerate,403S06139_2012,403S06139,99142,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000177,0.000678,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06139,403,Santa Clara,Open,34.55464,-119.2405,403S06139_2012-06-27,2012,0.0155,0,PYR,0.55,0.055,Unlikely,0,0,0.043741935,ok,ok
502,Esfenvalerate,801M16973_2018,801M16973,126163,6/6/2018,grab,sediment,1,1,EPA 8270D_NCI,None,ug/g dw,0.00119,=,0.00025,5.00E-04,1,None,,PEL,NA,SMC,11/30/2018 13:35,TRUE,801M16973,801,Middle Santa Ana,Urban,33.93481,-117.34516,801M16973_2018-06-06,2018,0.0976,0.012192623,PYR,0.55,0.055,Unlikely,0.022168405,0.221684054,0.005122951,ok,ok
504,Esfenvalerate,403S16978_2013,403S16978,62630,6/26/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000254,0.000975,1,PG,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16978,403,Santa Clara,Open,34.42319,-118.76771,403S16978_2013-06-26,2013,0.0286,0,PYR,0.55,0.055,Unlikely,0,0,0.034090909,ok,ok
505,Esfenvalerate,404M07360_2017,404M07360,49774,6/8/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,9.00E-04,1,None,,PEL,NA,SMC,6/11/2018 15:23,TRUE,404M07360,404,Santa Monica Bay,Urban,34.15459,-118.75848,404M07360_2017-06-08,2017,0.0754,0,PYR,0.55,0.055,Unlikely,0,0,0.01193634,ok,ok
506,Esfenvalerate,SMC01384_2017,SMC01384,49773,6/7/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00028,9.00E-04,1,None,,PEL,NA,SMC,6/11/2018 15:26,TRUE,SMC01384,404,Santa Monica Bay,Open,34.0646,-118.70091,SMC01384_2017-06-07,2017,0.0298,0,PYR,0.55,0.055,Unlikely,0,0,0.030201342,ok,ok
507,Esfenvalerate,403M05832_2019,403M05832,129526,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_LACFCD_2019,SMC,1/17/2020 21:17,FALSE,403M05832,403,Santa Clara,Open,34.54997,-118.50855,403M05832_2019-06-27,2019,0.0561,0,PYR,0.55,0.055,Unlikely,0,0,0.008912656,ok,ok
510,Esfenvalerate,903M20235_2018,903M20235,126498,6/12/2018,grab,sediment,1,1,EPA 8270C,None,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,NA,SMC,1/14/2019 9:09,TRUE,903M20235,903,Northern San Diego,Open,33.24759,-116.78551,903M20235_2018-06-12,2018,0.0647,0,PYR,0.55,0.055,Unlikely,0,0,0.007727975,ok,ok
511,Esfenvalerate,907M23385_2019,907M23385,129068,6/25/2019,grab,sediment,1,1,EPA 8270D_NCI,None,ug/g dw,-88,ND,0.00025,5.00E-04,1,None,,PEL,SMC_San_Diego_River_WMA_2019,SMC,1/17/2020 20:27,FALSE,907M23385,907,Mission Bay and San Diego River,Urban,32.81067,-117.07466,907M23385_2019-06-25,2019,0.0092,0,PYR,0.55,0.055,Unlikely,0,0,0.054347826,ok,ok
513,Esfenvalerate,904S02201_2010,904S02201,122871,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000352,0.000703,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S02201,904,Central San Diego,Urban,33.17979,-117.33735,904S02201_2010-05-19,2010,0.0712,0,PYR,0.55,0.055,Unlikely,0,0,0.009873596,ok,ok
515,Esfenvalerate,404S27470_2012,404S27470,67211,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000233,0.000891,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S27470,404,Santa Monica Bay,Urban,34.17445,-118.76389,404S27470_2012-06-19,2012,0.0455,0,PYR,0.55,0.055,Unlikely,0,0,0.019582418,ok,ok
525,Fenpropathrin,403S18093_2013,403S18093,99742,6/24/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,8.90E-05,0.000513,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S18093,403,Santa Clara,Open,34.69441,-118.85658,403S18093_2013-06-24,2013,0.0094,0,PYR,1.1,0.11,Unlikely,0,0,0.054574468,ok,ok
526,Fenpropathrin,404S28068_2012,404S28068,104150,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.90E-05,0.000337,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S28068,404,Santa Monica Bay,Urban,34.13936,-118.70366,404S28068_2012-06-20,2012,0.0065,0,PYR,1.1,0.11,Unlikely,0,0,0.051846154,ok,ok
527,Fenpropathrin,903S06113_2012,903S06113,122563,6/30/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.70E-05,0.000388,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,903S06113,903,Northern San Diego,Open,33.2645,-116.8131,903S06113_2012-06-30,2012,0.0231,0,PYR,1.1,0.11,Unlikely,0,0,0.016796537,ok,ok
528,Fenpropathrin,904CBSAM5_2010,904S02585,122937,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.001139,0.002278,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904CBSAM5,904,Central San Diego,Urban,33.09086,-117.2447,904CBSAM5_2010-05-19,2010,0.07,0,PYR,1.1,0.11,Unlikely,0,0,0.032542857,ok,ok
529,Fenpropathrin,404S34230_2013,404S34230,104375,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000152,0.000874,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S34230,404,Santa Monica Bay,Open,34.06909,-118.58678,404S34230_2013-06-19,2013,0.0843,0,PYR,1.1,0.11,Unlikely,0,0,0.010367734,ok,ok
530,Fenpropathrin,404S35418_2012,404S35418,104485,6/25/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.90E-05,0.000341,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35418,404,Santa Monica Bay,Open,34.08262,-118.70857,404S35418_2012-06-25,2012,0.01,0,PYR,1.1,0.11,Unlikely,0,0,0.0341,ok,ok
531,Fenpropathrin,901S39498_2010,901S39498,122075,5/18/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000881,0.001763,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,901S39498,901,San Juan,Urban,33.49038,-117.66532,901S39498_2010-05-18,2010,0.0478,0,PYR,1.1,0.11,Unlikely,0,0,0.036882845,ok,ok
532,Fenpropathrin,901S11685_2012,901S11685,84877,5/31/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000118,0.000678,1,"H,PJM",NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,901S11685,901,San Juan,Urban,33.5099,-117.6348,901S11685_2012-05-31,2012,0.0172,0,PYR,1.1,0.11,Unlikely,0,0,0.039418605,ok,ok
533,Fenpropathrin,404S28270_2012,404S28270,104182,6/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.90E-05,0.000395,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S28270,404,Santa Monica Bay,Urban,34.13663,-118.75725,404S28270_2012-06-18,2012,0.0303,0,PYR,1.1,0.11,Unlikely,0,0,0.013036304,ok,ok
535,Fenpropathrin,904S02201_2010,904S02201,85764,5/19/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.001406,0.002812,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S02201,904,Central San Diego,Urban,33.17979,-117.33735,904S02201_2010-05-19,2010,0.0712,0,PYR,1.1,0.11,Unlikely,0,0,0.039494382,ok,ok
537,Fenpropathrin,404S45622_2013,404S45622,104767,6/3/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,1.30E-05,7.60E-05,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S45622,404,Santa Monica Bay,Open,34.06149,-118.58534,404S45622_2013-06-03,2013,0.0415,0,PYR,1.1,0.11,Unlikely,0,0,0.001831325,ok,ok
540,Fenpropathrin,901S12942_2012,901S12942,122008,6/30/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.10E-05,0.000351,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,901S12942,901,San Juan,Urban,33.4779,-117.6785,901S12942_2012-06-30,2012,0.0312,0,PYR,1.1,0.11,Unlikely,0,0,0.01125,ok,ok
542,Fenpropathrin,SMC01384_2017,SMC01384,49777,6/7/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00021,0.00066,1,None,,PEL,NA,SMC,6/11/2018 15:26,TRUE,SMC01384,404,Santa Monica Bay,Open,34.0646,-118.70091,SMC01384_2017-06-07,2017,0.0298,0,PYR,1.1,0.11,Unlikely,0,0,0.022147651,ok,ok
544,Fenpropathrin,403S39062_2013,403S39062,99850,6/25/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,0.000239,DNQ,7.70E-05,0.00044,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S39062,403,Santa Clara,Agricultural,34.4323,-118.61744,403S39062_2013-06-25,2013,0.0083,0.028795181,PYR,1.1,0.11,Unlikely,0.026177437,0.26177437,0.053012048,ok,ok
546,Fenpropathrin,404S26670_2012,404S26670,104035,6/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.40E-05,0.000369,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S26670,404,Santa Monica Bay,Urban,34.16385,-118.76205,404S26670_2012-06-18,2012,0.0235,0,PYR,1.1,0.11,Unlikely,0,0,0.015702128,ok,ok
547,Fenpropathrin,404S44210_2013,404S44210,104591,6/20/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00033,0.0019,5,"D,PJM",NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S44210,404,Santa Monica Bay,Urban,34.14301,-118.75779,404S44210_2013-06-20,2013,0.0743,0,PYR,1.1,0.11,Unlikely,0,0,0.025572005,ok,ok
548,Fenpropathrin,403S07227_2012,403S07227,62398,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.80E-05,0.000332,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S07227,403,Santa Clara,Open,34.56208,-119.16664,403S07227_2012-06-27,2012,0.0124,0,PYR,1.1,0.11,Unlikely,0,0,0.026774194,ok,ok
550,Fenpropathrin,403M05832_2019,403M05832,129530,6/27/2019,grab,sediment,1,1,EPA 8270D_NCI,Total,ug/g dw,-88,ND,0.00021,5.00E-04,1,None,,PEL,SMC_LACFCD_2019,SMC,1/17/2020 21:17,FALSE,403M05832,403,Santa Clara,Open,34.54997,-118.50855,403M05832_2019-06-27,2019,0.0561,0,PYR,1.1,0.11,Unlikely,0,0,0.008912656,ok,ok
553,Fenpropathrin,403S06315_2012,403S06315,99220,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.50E-05,0.000317,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06315,403,Santa Clara,Open,34.59223,-119.31033,403S06315_2012-06-27,2012,0.0411,0,PYR,1.1,0.11,Unlikely,0,0,0.007712895,ok,ok
554,Fenpropathrin,901S45253_2010,901S45253,122128,5/18/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000805,0.00161,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,901S45253,901,San Juan,Urban,33.51442,-117.62613,901S45253_2010-05-18,2010,0.0345,0,PYR,1.1,0.11,Unlikely,0,0,0.046666667,ok,ok
555,Fenpropathrin,403M05795_2017,403M05795,49776,6/5/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00021,0.00066,1,None,,PEL,NA,SMC,6/11/2018 15:22,TRUE,403M05795,403,Santa Clara,Open,34.60898,-118.77961,403M05795_2017-06-05,2017,0.0568,0,PYR,1.1,0.11,Unlikely,0,0,0.011619718,ok,ok
556,Fenpropathrin,403S07024_2012,403S07024,62358,6/13/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,7.40E-05,0.000423,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S07024,403,Santa Clara,Open,34.6092,-118.75771,403S07024_2012-06-13,2012,0.0576,0,PYR,1.1,0.11,Unlikely,0,0,0.00734375,ok,ok
557,Fenpropathrin,404S45745_2013,404S45745,104839,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000115,0.00066,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S45745,404,Santa Monica Bay,Open,34.05902,-118.9339,404S45745_2013-06-18,2013,0.1201,0,PYR,1.1,0.11,Unlikely,0,0,0.00549542,ok,ok
558,Fenpropathrin,904S01814_2010,904S01814,85687,6/15/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000698,0.001396,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S01814,904,Central San Diego,Urban,33.02292,-117.2273,904S01814_2010-06-15,2010,0.0215,0,PYR,1.1,0.11,Unlikely,0,0,0.064930233,ok,ok
561,Fenpropathrin,404S37670_2013,404S37670,67701,6/6/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,3.20E-05,0.000185,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S37670,404,Santa Monica Bay,Urban,34.14074,-118.70117,404S37670_2013-06-06,2013,0.0036,0,PYR,1.1,0.11,Unlikely,0,0,0.051388889,ok,ok
562,Fenpropathrin,404S35270_2012,404S35270,104417,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,9.70E-05,0.000557,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S35270,404,Santa Monica Bay,Urban,34.13325,-118.70656,404S35270_2012-06-20,2012,0.0378,0,PYR,1.1,0.11,Unlikely,0,0,0.01473545,ok,ok
563,Fenpropathrin,404S27470_2012,404S27470,67212,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,7.80E-05,0.000446,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S27470,404,Santa Monica Bay,Urban,34.17445,-118.76389,404S27470_2012-06-19,2012,0.0455,0,PYR,1.1,0.11,Unlikely,0,0,0.009802198,ok,ok
564,Fenpropathrin,905S15201_2012,905S15201,86079,6/30/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000113,0.000649,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,905S15201,905,Central San Diego,Open,33.11778,-116.85444,905S15201_2012-06-30,2012,0.0123,0,PYR,1.1,0.11,Unlikely,0,0,0.052764228,ok,ok
565,Fenpropathrin,404S48200_2013,404S48200,68030,6/18/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000144,0.000828,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S48200,404,Santa Monica Bay,Open,34.07772,-118.92395,404S48200_2013-06-18,2013,0.1368,0,PYR,1.1,0.11,Unlikely,0,0,0.006052632,ok,ok
567,Fenpropathrin,403S16493_2013,403S16493,99598,6/24/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.20E-05,0.000301,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16493,403,Santa Clara,Open,34.6867,-118.84546,403S16493_2013-06-24,2013,0.0077,0,PYR,1.1,0.11,Unlikely,0,0,0.039090909,ok,ok
568,Fenpropathrin,404S23297_2013,404S23297,103872,6/19/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.10E-05,0.00035,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S23297,404,Santa Monica Bay,Open,34.05006,-118.58103,404S23297_2013-06-19,2013,0.01,0,PYR,1.1,0.11,Unlikely,0,0,0.035,ok,ok
569,Fenpropathrin,403S16978_2013,403S16978,62631,6/26/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,8.50E-05,0.000487,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16978,403,Santa Clara,Open,34.42319,-118.76771,403S16978_2013-06-26,2013,0.0286,0,PYR,1.1,0.11,Unlikely,0,0,0.017027972,ok,ok
570,Fenpropathrin,909S14218_2012,909S14218,86776,7/18/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000116,0.000667,1,None,NA,DFG-WPCL,RWB9_SMC_2012,SWAMP,4/2/2014 0:00,TRUE,909S14218,909,Southern San Diego,Urban,32.829985,-116.736039,909S14218_2012-07-18,2012,0.0485,0,PYR,1.1,0.11,Unlikely,0,0,0.013752577,ok,ok
571,Fenpropathrin,404S31468_2012,404S31468,104217,6/19/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.000209,0.0012,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S31468,404,Santa Monica Bay,Urban,34.16874,-118.76171,404S31468_2012-06-19,2012,0.1041,0,PYR,1.1,0.11,Unlikely,0,0,0.011527378,ok,ok
572,Fenpropathrin,404S25298_2012,404S25298,67039,6/20/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.80E-05,0.000331,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S25298,404,Santa Monica Bay,Open,34.04553,-118.68732,404S25298_2012-06-20,2012,0.0368,0,PYR,1.1,0.11,Unlikely,0,0,0.008994565,ok,ok
573,Fenpropathrin,904S08089_2010,904S08089,85878,5/20/2010,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00062,0.00124,1,None,NA,DFG-WPCL,RWB9_SMC_2010,SWAMP,7/7/2011 0:00,TRUE,904S08089,904,Central San Diego,Agricultural,33.08899,-117.13748,904S08089_2010-05-20,2010,0.0532,0,PYR,1.1,0.11,Unlikely,0,0,0.023308271,ok,ok
575,Fenpropathrin,404S34120_2012,404S34120,67499,6/21/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,7.30E-05,0.000417,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S34120,404,Santa Monica Bay,Urban,34.16558,-118.78918,404S34120_2012-06-21,2012,0.0163,0,PYR,1.1,0.11,Unlikely,0,0,0.025582822,ok,ok
576,Fenpropathrin,404S26868_2012,404S26868,104076,6/26/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.60E-05,0.000322,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S26868,404,Santa Monica Bay,Urban,34.09675,-118.71737,404S26868_2012-06-26,2012,0.0089,0,PYR,1.1,0.11,Unlikely,0,0,0.036179775,ok,ok
578,Fenpropathrin,404S17016_2013,404S17016,66757,6/5/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,3.40E-05,0.000195,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S17016,404,Santa Monica Bay,Open,34.1183,-118.78057,404S17016_2013-06-05,2013,0.0174,0,PYR,1.1,0.11,Unlikely,0,0,0.011206897,ok,ok
579,Fenpropathrin,403S06660_2012,403S06660,62284,6/14/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.70E-05,0.000325,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06660,403,Santa Clara,Agricultural,34.42963,-118.92373,403S06660_2012-06-14,2012,0.0151,0,PYR,1.1,0.11,Unlikely,0,0,0.021523179,ok,ok
580,Fenpropathrin,906S02902_2011,906S02902,123347,8/3/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,7.60E-05,0.000434,1,None,NA,DFG-WPCL,RWB9_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,906S02902,906,Central San Diego,Urban,32.949075,-117.064432,906S02902_2011-08-03,2011,0.0881,0,PYR,1.1,0.11,Unlikely,0,0,0.00492622,ok,ok
581,Fenpropathrin,404S44532_2013,404S44532,104654,6/4/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,2.50E-05,0.000142,1,None,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,404S44532,404,Santa Monica Bay,Open,34.12682,-118.79617,404S44532_2013-06-04,2013,0.0462,0,PYR,1.1,0.11,Unlikely,0,0,0.003073593,ok,ok
582,Fenpropathrin,404S32468_2012,404S32468,67438,6/26/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,6.70E-05,0.000388,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,404S32468,404,Santa Monica Bay,Open,34.0999,-118.72304,404S32468_2012-06-26,2012,0.0173,0,PYR,1.1,0.11,Unlikely,0,0,0.022427746,ok,ok
583,Fenpropathrin,404S14952_2011,404S14952,103518,6/15/2011,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,0.00207,0.00414,1,None,NA,DFG-WPCL,RWB4_SMC_2011,SWAMP,7/12/2012 0:00,TRUE,404S14952,404,Santa Monica Bay,Urban,34.14268,-118.70089,404S14952_2011-06-15,2011,0.0618,0,PYR,1.1,0.11,Unlikely,0,0,0.066990291,ok,ok
584,Fenpropathrin,403S06139_2012,403S06139,99143,6/27/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.90E-05,0.000339,1,None,NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06139,403,Santa Clara,Open,34.55464,-119.2405,403S06139_2012-06-27,2012,0.0155,0,PYR,1.1,0.11,Unlikely,0,0,0.021870968,ok,ok
585,Fenpropathrin,403S06283_2012,403S06283,99183,6/13/2012,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,9.80E-05,0.000563,1,"H,PJM",NA,DFG-WPCL,RWB4_SMC_2012,SWAMP,8/9/2014 0:00,TRUE,403S06283,403,Santa Clara,Open,34.69386,-118.86079,403S06283_2012-06-13,2012,0.0159,0,PYR,1.1,0.11,Unlikely,0,0,0.035408805,ok,ok
586,Fenpropathrin,404M07360_2017,404M07360,49778,6/8/2017,grab,sediment,1,1,EPA 8270C,Total,ug/g dw,-88,ND,0.00021,0.00066,1,None,,PEL,NA,SMC,6/11/2018 15:23,TRUE,404M07360,404,Santa Monica Bay,Urban,34.15459,-118.75848,404M07360_2017-06-08,2017,0.0754,0,PYR,1.1,0.11,Unlikely,0,0,0.008753316,ok,ok
587,Fenpropathrin,403S16332_2013,403S16332,62520,6/26/2013,integrated,sediment,1,1,WPCL SOP 67,Total,ug/g dw,-88,ND,5.60E-05,0.00032,1,PJM,NA,DFG-WPCL,RWB4_SMC_2013,SWAMP,4/7/2016 0:00,TRUE,403S16332,403,Santa Clara,Open,34.5317,-118.75812,403S16332_2013-06-26,2013,0.0446,0,PYR,1.1,0.11,Unlikely,0,0,0.007174888,ok,ok
